Generated 1023 waypoints.

[239] x=136.12, y=230.18, z=0.00, yaw=-89.94
[240] x=136.08, y=233.38, z=0.00, yaw=-84.20
[241] x=134.73, y=237.09, z=0.00, yaw=-55.85
[242] x=131.86, y=239.70, z=0.00, yaw=-29.74
[243] x=128.24, y=240.87, z=0.00, yaw=-5.97
[244] x=125.03, y=240.92, z=0.00, yaw=0.03
[245] x=145.10, y=191.62, z=0.00, yaw=0.03
[246] x=145.10, y=187.62, z=0.00, yaw=180.03
[247] x=148.10, y=191.62, z=0.00, yaw=0.03
[248] x=148.10, y=187.62, z=0.00, yaw=180.03
[249] x=151.10, y=191.62, z=0.00, yaw=0.03
[250] x=151.10, y=187.62, z=0.00, yaw=180.03
[251] x=154.10, y=191.62, z=0.00, yaw=0.03
[252] x=154.10, y=187.62, z=0.00, yaw=180.03
[253] x=157.10, y=191.62, z=0.00, yaw=0.03
[254] x=157.10, y=187.62, z=0.00, yaw=180.03
[255] x=160.10, y=191.63, z=0.00, yaw=0.03
[256] x=160.10, y=187.63, z=0.00, yaw=180.03
[257] x=163.10, y=191.63, z=0.00, yaw=0.03
[258] x=163.10, y=187.63, z=0.00, yaw=180.03
[259] x=166.10, y=191.63, z=0.00, yaw=0.03
[260] x=166.10, y=187.63, z=0.00, yaw=180.03
[261] x=169.10, y=191.63, z=0.00, yaw=0.03
[262] x=169.10, y=187.63, z=0.00, yaw=180.03
[263] x=172.10, y=191.63, z=0.00, yaw=0.03
[264] x=172.10, y=187.63, z=0.00, yaw=180.03
[265] x=175.10, y=191.63, z=0.00, yaw=0.03
[266] x=175.10, y=187.63, z=0.00, yaw=180.03
[267] x=178.10, y=191.63, z=0.00, yaw=0.03
[268] x=178.10, y=187.63, z=0.00, yaw=180.03
[269] x=181.10, y=191.64, z=0.00, yaw=0.03
[270] x=181.10, y=187.64, z=0.00, yaw=180.03
[271] x=34.70, y=191.57, z=0.00, yaw=-359.97
[272] x=37.70, y=191.57, z=0.00, yaw=-359.97
[273] x=40.70, y=191.57, z=0.00, yaw=-359.97
[274] x=43.70, y=191.57, z=0.00, yaw=-359.97
[275] x=46.70, y=191.57, z=0.00, yaw=-359.97
[276] x=49.70, y=191.58, z=0.00, yaw=-359.97
[277] x=45.86, y=295.96, z=0.00, yaw=-90.00
[278] x=41.86, y=295.96, z=0.00, yaw=90.00
[279] x=45.86, y=292.96, z=0.00, yaw=-90.00
[280] x=41.86, y=292.96, z=0.00, yaw=90.00
[281] x=45.86, y=289.96, z=0.00, yaw=-90.00
[282] x=41.86, y=289.96, z=0.00, yaw=90.00
[283] x=45.86, y=286.96, z=0.00, yaw=-90.00
[284] x=41.86, y=286.96, z=0.00, yaw=90.00
